,WindGustSpeed,cloud,pressure,humidity,temp,RainToday,RainTomorrow
202,46.0,1.0,1020.25,85.0,12.175,1,1
203,19.0,4.5,1019.6500000000001,88.5,10.65,1,0
204,35.0,7.0,1018.3,84.5,10.725,0,1
205,41.0,6.5,1013.8,73.0,11.274999999999999,1,0
206,24.0,7.5,1014.1,87.0,8.85,0,1
208,22.0,8.0,1006.65,80.0,10.475,0,1
209,22.0,7.5,1007.05,87.0,10.925,1,1
210,26.0,8.0,1010.4,80.0,12.399999999999999,1,1
211,72.0,8.0,1004.3,75.5,13.5,1,1
212,52.0,6.5,1005.85,76.5,11.05,1,1
213,54.0,6.0,1008.0999999999999,81.0,10.15,1,1
214,61.0,4.5,1009.1,72.0,9.775,1,0
215,39.0,8.0,1015.5999999999999,83.5,9.85,0,0
222,24.0,4.0,1018.05,79.5,9.85,0,0
223,33.0,4.0,1009.05,65.0,12.9,0,0
224,41.0,8.0,1006.55,77.5,10.075000000000001,0,1
225,30.0,8.0,1006.2,84.5,8.875,1,1
229,20.0,6.0,1021.25,81.0,6.35,0,0
230,24.0,8.0,1020.7,79.5,9.65,0,0
233,44.0,7.5,1007.85,77.5,10.100000000000001,0,1
234,26.0,7.0,1016.75,70.5,10.225,1,0
238,20.0,8.0,1019.9,95.0,5.4,0,1
239,31.0,8.0,1023.55,80.0,9.425,1,1
240,24.0,8.0,1025.7,89.5,10.725,1,0
241,22.0,7.0,1024.25,87.5,8.475,0,1
242,35.0,6.5,1021.4,71.0,11.325,1,0
243,30.0,5.0,1026.05,84.5,10.875,0,0
244,30.0,3.5,1026.35,79.5,11.35,0,0
247,19.0,8.0,1021.2,87.0,10.5,1,0
249,57.0,8.0,1014.2,63.0,11.35,0,1
253,43.0,1.0,1008.8,60.5,13.5,0,1
254,24.0,8.0,1010.75,86.5,10.825,1,0
255,22.0,7.5,1015.5,90.5,9.95,0,1
258,39.0,8.0,1009.3,74.5,11.475,1,1
261,17.0,4.5,1025.1,80.0,9.675,0,0
263,59.0,5.5,1002.85,78.5,11.375,0,1
265,26.0,3.0,1009.3,80.5,13.424999999999999,1,1
271,59.0,4.5,999.75,80.5,13.9,1,1
272,56.0,8.0,1014.7,67.0,8.7,1,1
273,39.0,6.0,1017.8499999999999,81.0,11.125,1,1
274,24.0,4.5,1022.45,77.0,10.375,1,0
281,46.0,4.5,1009.45,74.5,11.725000000000001,0,0
282,35.0,8.0,1012.05,74.5,11.175,0,0
292,22.0,8.0,1016.9,72.0,13.85,0,0
295,50.0,4.5,1000.9000000000001,66.0,16.6,1,1
296,56.0,6.5,1000.8,68.0,13.774999999999999,1,1
298,44.0,4.5,1006.0999999999999,58.5,14.6,0,1
299,56.0,6.5,1004.55,75.5,9.5,1,1
300,61.0,6.5,1009.0999999999999,75.0,8.7,1,0
306,31.0,7.0,1014.55,81.0,11.15,1,1
309,37.0,2.0,1019.25,81.0,10.05,0,1
316,50.0,6.5,999.75,70.5,12.475000000000001,1,1
317,65.0,4.5,1001.6,74.0,12.25,1,1
318,50.0,8.0,1008.15,81.5,11.85,1,1
355,37.0,8.0,1009.9,93.0,20.2,1,1
356,61.0,8.0,1003.6,82.5,22.849999999999998,1,0
360,78.0,2.5,1010.3,59.0,27.225,0,1
361,24.0,6.0,1009.6500000000001,69.0,21.099999999999998,1,0
362,52.0,1.5,1004.6,37.5,22.0,0,1
363,46.0,6.0,1000.7,74.0,17.325,1,1
364,50.0,2.0,1009.8,58.5,19.15,1,0
372,54.0,6.0,1006.45,51.5,21.475,0,1
374,52.0,7.0,1006.8,39.0,21.725,0,0
375,41.0,4.5,1016.5999999999999,46.0,16.4,0,0
389,31.0,3.0,1008.9,66.5,23.875,1,0
412,57.0,2.5,1006.2,37.5,21.125,0,0
413,52.0,5.0,1007.35,37.0,17.0,0,0
431,33.0,6.0,1009.65,76.5,23.1,1,1
434,37.0,7.0,1019.3,49.0,29.174999999999997,0,0
439,24.0,4.5,1008.9,70.5,23.924999999999997,0,0
440,41.0,8.0,1005.3499999999999,61.5,25.349999999999998,0,0
446,57.0,1.5,1016.5999999999999,52.5,24.5,0,0
447,59.0,5.5,1013.25,65.0,26.35,0,1
448,46.0,8.0,1013.25,76.5,23.025,1,0
460,39.0,4.5,1009.5,67.5,25.2,1,1
461,39.0,7.5,1011.05,85.5,20.325000000000003,1,1
463,46.0,8.0,1015.15,78.5,18.35,1,0
483,26.0,6.0,1015.3499999999999,77.5,21.875,1,0
492,30.0,5.5,1011.65,78.0,20.375,1,1
493,46.0,1.0,1016.0,68.5,19.275,1,0
495,22.0,8.0,1010.3,81.5,16.925,0,1
496,57.0,5.0,1010.1500000000001,64.5,16.650000000000002,1,0
504,17.0,2.5,1023.8,63.5,19.325000000000003,0,0
505,26.0,1.0,1022.3499999999999,64.0,19.425,0,0
509,46.0,8.0,1011.05,90.5,17.725,1,1
512,17.0,6.5,1019.45,71.0,12.200000000000001,0,1
513,30.0,1.0,1020.8,67.0,14.075,1,0
514,28.0,6.5,1021.15,74.0,14.875,0,0
519,61.0,6.0,1014.5,60.5,17.5,0,1
521,35.0,8.0,1021.95,73.0,12.125,0,0
522,20.0,7.0,1023.2,72.5,12.55,0,0
523,13.0,3.5,1022.4000000000001,71.5,15.125,0,0
524,17.0,4.5,1021.5,76.5,13.25,0,0
540,26.0,7.0,1006.85,93.5,12.85,1,1
542,11.0,8.0,1018.8,75.5,12.125,0,0
543,22.0,7.0,1016.8499999999999,79.5,12.45,0,1
544,26.0,8.0,1004.25,94.0,12.625,1,1
545,46.0,4.5,1004.75,73.0,14.850000000000001,1,0
554,19.0,7.0,1021.6,69.0,8.05,0,0
555,37.0,7.5,1012.0,86.5,7.35,0,1
557,28.0,7.0,1021.35,74.0,10.6,0,0
561,11.0,3.5,1030.3,78.5,7.075,0,0
562,52.0,4.0,1024.75,82.0,9.475,0,1
564,24.0,4.5,1018.8,79.0,8.25,1,1
566,39.0,8.0,1026.95,92.0,9.275,0,0
570,24.0,2.0,1027.4,70.5,11.399999999999999,0,0
571,31.0,8.0,1020.25,89.0,12.1,0,1
572,35.0,7.5,1020.5,78.5,9.25,1,0
573,22.0,1.5,1023.05,76.5,6.7,0,0
574,52.0,7.5,1021.5,84.5,4.550000000000001,0,0
575,20.0,8.0,1020.3,64.0,6.824999999999999,0,0
576,24.0,8.0,1020.1500000000001,79.5,7.500000000000001,0,1
577,13.0,7.0,1024.75,83.0,7.75,1,0
578,19.0,6.0,1025.8,84.5,6.125,0,0
581,22.0,5.5,1025.15,84.5,7.0,0,1
587,28.0,4.5,1020.1,80.5,11.85,1,0
589,59.0,8.0,1012.8499999999999,95.5,9.5,0,1
590,57.0,8.0,1008.95,86.5,8.45,1,1
592,48.0,5.0,1027.5,77.5,7.4,0,0
593,15.0,6.0,1027.5500000000002,84.0,6.175000000000001,0,0
595,20.0,8.0,1018.3,80.0,9.9,1,0
596,19.0,4.5,1024.7,80.5,6.675,0,0
598,19.0,4.0,1031.7,70.0,7.425,0,0
605,20.0,8.0,1016.7,89.5,11.225000000000001,1,0
606,30.0,8.0,1014.5,88.5,12.25,0,1
607,30.0,8.0,1014.6500000000001,92.5,10.625,1,1
608,41.0,8.0,1015.45,89.5,8.55,1,1
609,39.0,6.0,1019.1,70.5,10.399999999999999,1,0
613,22.0,4.5,1023.65,79.0,7.174999999999999,0,0
617,41.0,8.0,1011.3,81.5,11.325,1,1
618,33.0,8.0,1003.1500000000001,90.5,8.825,1,1
620,20.0,4.5,1015.1,77.5,9.4,0,0
622,46.0,8.0,1004.45,88.5,10.225,1,1
623,56.0,7.0,1013.8,79.5,9.3,1,1
625,31.0,6.0,1011.5999999999999,89.0,6.7,0,1
626,57.0,7.0,1008.0,70.5,11.55,1,1
627,46.0,4.5,1015.25,70.0,8.25,1,0
628,39.0,5.5,1018.25,77.0,9.55,0,0
630,17.0,8.0,1015.1500000000001,76.0,8.825,0,1
631,67.0,8.0,1011.75,72.5,10.2,1,1
632,65.0,8.0,1008.2,76.0,7.6,1,1
633,50.0,8.0,1002.05,77.0,8.925,1,1
635,22.0,5.5,1024.2,78.5,8.174999999999999,0,0
636,15.0,6.0,1028.4,71.0,9.575,0,0
639,17.0,7.5,1015.3499999999999,78.5,11.9,0,0
640,33.0,6.0,1016.25,80.0,13.45,0,0
642,70.0,8.0,1001.85,91.5,14.425,1,1
643,72.0,7.5,1012.75,74.0,11.95,1,1
644,50.0,7.0,1019.2,76.5,10.4,1,1
647,39.0,8.0,1012.6500000000001,83.0,11.225,0,1
648,50.0,8.0,1005.25,88.5,11.0,1,1
654,54.0,4.5,1018.1,56.5,11.049999999999999,0,0
656,31.0,7.0,1020.3,63.5,10.125,0,0
657,30.0,5.0,1021.75,72.5,11.0,0,0
660,26.0,6.5,1023.75,59.0,15.625,0,0
662,33.0,5.0,1022.3,78.5,12.525,0,0
680,31.0,8.0,1025.8,78.5,17.15,0,1
683,63.0,8.0,986.3499999999999,91.5,17.0,1,1
685,35.0,7.5,1016.2,66.5,11.475,0,0
686,39.0,4.0,1019.65,62.0,14.049999999999999,0,0
691,28.0,6.5,1016.8,79.0,17.099999999999998,0,1
693,22.0,2.5,1020.45,62.0,17.125,0,0
698,33.0,8.0,1009.55,95.5,17.925,1,1
699,52.0,8.0,1011.65,72.5,16.400000000000002,1,1
700,35.0,4.0,1015.15,65.5,14.775,1,0
703,33.0,6.5,1019.9,54.5,15.100000000000001,0,0
707,31.0,5.5,1014.25,67.5,20.55,1,0
712,61.0,5.0,1011.55,70.5,24.300000000000004,0,1
725,39.0,8.0,1016.8,80.0,21.05,1,1
728,43.0,3.5,1013.1500000000001,60.0,18.625,1,1
733,44.0,3.5,1010.95,56.5,24.575000000000003,1,0
736,43.0,4.5,1010.15,47.0,26.4,0,1
737,61.0,7.5,1007.2,68.5,25.125,1,1
738,39.0,8.0,1008.1500000000001,67.5,22.8,1,0
748,61.0,8.0,996.55,63.0,15.2,1,1
749,52.0,7.5,1003.3,64.5,14.625,1,1
771,37.0,8.0,1010.55,84.0,23.375,1,1
773,41.0,8.0,1008.0,72.5,26.65,1,1
796,28.0,6.5,1007.95,96.0,22.1,1,1
802,54.0,8.0,1012.45,96.0,21.75,1,1
803,28.0,6.0,1013.55,72.5,23.75,1,0
808,30.0,6.5,1011.8499999999999,72.5,24.025000000000002,1,0
809,52.0,1.0,1012.0,59.5,25.6,0,1
811,43.0,6.5,1009.9000000000001,65.0,21.75,1,0
818,20.0,8.0,1009.45,87.0,21.475,0,1
819,20.0,5.5,1005.75,70.0,24.2,1,0
829,22.0,8.0,1012.0999999999999,93.5,19.725,1,1
837,20.0,1.0,1013.9,62.0,20.125,0,0
841,37.0,6.5,1000.8499999999999,70.0,22.875,0,0
842,37.0,8.0,1005.5,69.5,17.799999999999997,0,1
843,44.0,5.5,1003.75,77.0,18.075,1,0
844,43.0,5.5,1012.2,63.0,17.799999999999997,0,0
848,26.0,8.0,1022.1,69.0,19.075,0,0
849,33.0,6.5,1017.1500000000001,71.0,19.45,0,0
851,15.0,6.0,1017.95,73.5,15.35,0,0
853,28.0,3.0,1015.55,60.0,16.775,0,0
861,54.0,3.5,1009.8,69.0,8.2,1,0
862,24.0,7.0,1014.55,91.5,5.75,0,1
863,35.0,7.0,1013.65,86.0,10.025,1,1
865,15.0,6.5,1030.7,76.0,7.15,0,0
866,20.0,8.0,1031.75,86.5,6.775,0,0
872,46.0,6.0,1013.15,73.5,14.6,0,1
873,44.0,8.0,1001.7,86.5,13.1,1,1
874,26.0,8.0,1008.0,75.0,12.325000000000001,1,0
877,17.0,4.0,1021.25,82.0,8.649999999999999,0,0
885,24.0,4.5,1015.95,83.5,12.0,1,0
886,28.0,5.0,1016.7,86.5,8.1,0,1
889,37.0,8.0,1018.25,76.0,6.1,1,0
899,28.0,8.0,1014.8,88.0,9.3,0,0
900,20.0,8.0,1016.45,95.5,8.525,0,1
901,46.0,7.5,1013.0999999999999,76.5,11.675,1,1
902,65.0,5.0,1002.95,75.5,8.825000000000001,1,0
903,43.0,8.0,1013.45,81.0,8.425,0,1
914,48.0,7.5,1016.5,89.0,9.2,0,1
915,69.0,6.0,1011.1500000000001,69.5,11.475,1,1
917,61.0,8.0,1009.25,90.5,8.925,1,1
918,52.0,1.5,1016.0999999999999,69.5,9.025,1,0
920,28.0,8.0,1021.6500000000001,90.5,7.25,1,0
921,46.0,8.0,1015.1500000000001,73.0,8.725,0,1
922,30.0,7.0,1022.45,74.5,8.35,1,0
923,28.0,7.5,1024.4,73.5,8.425,0,0
928,31.0,8.0,1022.6,90.5,8.575,0,1
929,33.0,8.0,1018.55,88.5,9.15,1,1
931,33.0,3.0,1020.85,76.5,9.100000000000001,0,0
979,56.0,5.5,1014.5,63.0,14.599999999999998,1,0
982,57.0,8.0,1011.85,58.5,9.524999999999999,0,0
994,30.0,6.5,1021.45,76.0,11.425,1,0
1001,83.0,6.0,1006.8,81.0,15.475000000000001,0,1
1002,59.0,5.5,996.25,86.5,11.05,1,1
1003,48.0,8.0,1004.9000000000001,71.5,12.05,1,1
1004,26.0,8.0,1006.45,82.5,11.3,1,1
1012,46.0,6.5,1008.75,73.0,15.075000000000001,0,1
1028,39.0,8.0,1011.65,72.5,16.2,1,0
1044,61.0,4.5,1013.6,62.5,18.55,1,0
1050,43.0,8.0,1017.45,70.0,19.375,0,0
1053,33.0,7.5,1010.9,67.0,24.475,0,0
1063,59.0,1.0,1009.9000000000001,45.0,27.9,0,1
1074,37.0,8.0,1007.75,65.0,21.825000000000003,0,1
1075,37.0,6.5,1002.5,74.5,22.0,1,0
1083,44.0,7.5,1006.25,65.5,23.275,1,0
1106,69.0,5.5,1007.7,59.5,15.975,0,1
1113,31.0,6.5,1015.6500000000001,59.5,23.25,0,0
1122,39.0,1.0,1013.45,39.5,28.4,0,0
1125,48.0,7.5,995.3499999999999,80.5,24.875,1,1
1135,26.0,3.0,1011.1,59.0,20.450000000000003,0,1
1142,30.0,8.0,1017.6,73.0,21.8,0,0
1143,31.0,5.5,1013.95,62.0,24.7,0,0
1146,39.0,7.5,1013.25,84.0,19.25,0,1
1152,37.0,7.5,1016.5999999999999,95.5,20.925,1,1
1153,31.0,8.0,1014.45,77.5,23.825,1,1
1156,57.0,8.0,1001.95,92.5,19.0,1,1
1157,48.0,7.5,1011.0999999999999,53.0,21.775,1,0
1158,52.0,8.0,1012.6500000000001,77.0,18.700000000000003,0,1
1159,35.0,5.5,1009.8499999999999,82.5,20.925,1,0
1161,43.0,5.5,1018.15,64.5,20.025,0,0
1162,52.0,4.0,1021.7,45.5,19.75,0,0
1171,46.0,8.0,1011.4,93.0,19.075000000000003,1,1
1176,50.0,6.0,1006.05,63.5,22.625,0,0
1178,54.0,5.5,1006.9,65.0,14.625,0,0
1179,37.0,6.0,1015.2,66.5,14.3,0,0
1183,26.0,7.5,1019.6,80.5,18.825,0,1
1189,30.0,4.5,1013.8,58.0,22.575,0,0
1195,56.0,8.0,1018.7,69.5,12.55,0,0
1205,24.0,6.0,1017.0999999999999,78.0,19.275,0,1
1206,19.0,4.5,1016.0,81.0,18.724999999999998,1,0
1208,43.0,8.0,1010.7,76.0,18.8,1,1
1209,39.0,2.5,1009.8,68.5,18.5,1,0
1210,35.0,8.0,1013.85,81.5,11.425,0,0
1211,39.0,5.5,1014.35,72.0,12.725,0,0
1213,19.0,7.0,1022.1,79.0,13.425,0,0
1217,24.0,7.0,1023.4,74.5,14.649999999999999,0,0
1218,30.0,7.5,1020.6,91.5,13.475000000000001,0,1
1222,17.0,8.0,1018.2,85.5,9.225000000000001,0,0
1223,20.0,6.5,1019.3,83.5,10.075,0,0
1224,28.0,4.5,1017.8,70.0,13.7,0,0
1225,26.0,6.5,1020.05,82.0,13.05,0,0
1226,13.0,6.0,1021.15,78.0,15.6,0,0
1229,43.0,5.5,1016.05,68.5,11.0,0,0
1232,17.0,5.0,1025.1,76.0,11.05,0,0
1237,13.0,6.5,1024.55,79.5,8.55,0,0
1238,22.0,7.5,1023.5,72.0,9.875,0,0
1240,24.0,5.0,1016.35,89.0,11.875,0,1
1241,59.0,8.0,1010.0,86.5,7.775,1,1
1242,35.0,7.5,1015.7,87.0,10.0,1,0
1243,20.0,4.5,1022.85,81.5,10.775,0,0
1250,31.0,7.5,1014.55,78.0,10.625,1,0
1251,35.0,8.0,1006.75,93.0,9.100000000000001,0,1
1256,11.0,6.0,1026.7,82.0,7.575,0,0
1257,13.0,4.5,1025.95,75.0,8.725,0,0
1261,43.0,7.5,1016.0,81.0,10.425,0,0
1263,20.0,7.5,1016.25,92.0,6.775,0,0
1264,26.0,7.5,1020.7,91.0,8.75,0,0
1267,20.0,7.5,1021.15,82.0,6.199999999999999,0,0
1268,35.0,8.0,1010.5999999999999,71.0,10.175,0,1
1269,44.0,8.0,1007.8,90.5,8.625,1,0
1270,24.0,8.0,1025.1999999999998,84.0,4.9,0,0
1271,24.0,8.0,1030.5,93.5,7.6,0,1
1272,28.0,8.0,1029.7,90.5,9.025,1,0
1274,15.0,8.0,1029.5,80.0,8.675,0,0
1275,15.0,7.5,1022.45,87.0,7.7,0,1
1276,35.0,7.5,1011.25,84.0,11.425,1,1
1277,39.0,8.0,1012.6,84.0,6.924999999999999,1,1
1278,26.0,8.0,1015.45,95.5,7.0,1,1
1286,24.0,1.0,1026.6,77.5,8.7,0,1
1287,44.0,7.5,1018.2,96.0,9.35,1,1
1288,39.0,2.5,1018.45,80.0,11.7,1,0
1290,24.0,7.5,1008.9,90.5,12.425,1,1
1291,48.0,7.0,1011.1500000000001,84.5,11.9,1,1
1292,33.0,7.5,1021.0,76.5,8.774999999999999,1,1
1293,22.0,8.0,1027.9,91.5,10.425,1,0
1294,19.0,8.0,1024.5,83.0,12.124999999999998,0,0
1295,39.0,5.0,1019.25,76.5,11.425,0,0
1296,24.0,5.5,1023.85,79.0,6.324999999999999,0,0
1297,31.0,5.5,1028.0,76.5,10.125,0,0
1300,13.0,1.0,1030.3,74.5,9.275,0,0
1302,28.0,8.0,1019.3499999999999,79.0,9.65,0,1
1304,17.0,6.0,1012.75,91.0,9.075,1,1
1305,28.0,8.0,1020.45,85.5,8.899999999999999,1,1
1311,24.0,7.5,1017.25,74.0,9.175,0,0
1312,28.0,7.5,1017.25,80.5,9.0,0,1
1313,54.0,8.0,1012.4000000000001,75.5,10.9,1,1
1314,50.0,5.5,1020.35,73.0,8.299999999999999,1,0
1317,65.0,4.5,1017.85,84.5,8.3,1,0
1323,26.0,5.0,1016.4,83.5,8.475000000000001,1,0
1324,33.0,8.0,1012.65,75.5,10.774999999999999,0,1
1325,50.0,7.5,1002.5,82.0,8.875,1,1
1326,37.0,8.0,1011.75,86.5,9.35,1,0
1328,17.0,5.0,1022.5,72.0,8.15,0,0
1329,33.0,1.5,1017.7,64.5,10.5,0,0
1331,43.0,7.5,1005.7,87.5,11.325,0,1
1332,46.0,8.0,1013.3,80.0,8.475,1,1
1333,28.0,8.0,1020.1,74.5,8.600000000000001,1,0
1334,31.0,4.5,1020.6,67.5,11.3,0,0
1335,19.0,4.5,1024.8000000000002,79.5,8.15,0,0
1338,56.0,7.0,1013.2,69.0,9.625,0,0
1339,39.0,7.5,1018.55,67.5,8.75,0,0
1345,44.0,7.5,1008.8,63.0,13.3,0,1
1346,67.0,8.0,1007.8,72.5,10.25,1,1
1347,46.0,8.0,1017.65,74.5,11.575,1,0
1353,31.0,8.0,1021.55,69.0,8.75,0,0
1356,20.0,4.0,1018.55,67.5,12.775,0,0
1357,33.0,6.0,1015.4,76.5,12.025,0,1
1358,43.0,4.0,1016.45,72.5,14.725000000000001,1,0
1359,39.0,6.5,1014.3,68.5,16.975,0,0
1360,39.0,8.0,1015.0,72.5,15.7,0,0
1362,48.0,2.0,1008.8499999999999,62.0,14.2,0,0
1366,54.0,3.0,1011.15,60.5,17.85,0,0
1367,67.0,6.0,1001.2,53.5,19.525,0,1
1368,50.0,8.0,1011.5,55.0,11.025,1,0
1377,28.0,6.5,1014.5,75.5,10.975000000000001,0,0
1380,28.0,8.0,1007.75,87.0,9.5,0,1
1385,35.0,4.5,1015.1,82.0,14.100000000000001,0,1
1401,54.0,5.5,1007.8,50.0,19.4,0,0
1407,24.0,8.0,1010.05,94.0,19.299999999999997,1,1
1408,35.0,7.0,1011.95,69.0,20.6,1,1
1427,33.0,5.0,1013.3499999999999,61.5,22.45,0,0
1443,33.0,7.5,1012.6,68.5,19.325000000000003,0,1
1456,46.0,3.5,1007.2,41.5,30.049999999999997,0,0
1458,54.0,3.5,1005.75,48.5,27.125,0,0
1482,67.0,8.0,1012.7,81.5,17.875,1,1
1489,46.0,7.5,1014.25,84.0,19.95,1,1
1491,28.0,1.5,1016.05,72.5,14.625,0,0
1492,30.0,8.0,1013.5,66.0,17.475,0,0
1501,19.0,1.0,1025.05,55.5,19.825000000000003,0,0
1506,17.0,7.5,1011.05,66.5,19.975,0,0
1514,26.0,8.0,1010.5,84.5,12.775,1,1
1516,30.0,8.0,1020.0999999999999,68.5,12.075,0,0
1517,31.0,5.0,1022.65,65.5,13.925,0,0
1518,26.0,1.5,1023.4,66.0,15.275,0,0
1520,28.0,6.0,1016.5,47.0,19.0,0,0
1521,17.0,7.5,1024.3000000000002,84.5,12.850000000000001,0,1
1535,41.0,8.0,1014.45,80.5,14.0,1,1
1536,22.0,8.0,1014.75,91.0,7.699999999999999,1,1
1537,39.0,8.0,1011.1,88.0,10.350000000000001,1,1
1538,50.0,7.5,1010.3,83.0,11.175,1,1
1539,31.0,6.0,1015.15,85.5,10.2,1,0
1540,31.0,8.0,1017.0,81.0,8.125,0,0
1541,28.0,7.5,1019.2,81.5,8.475000000000001,0,1
1542,20.0,8.0,1018.15,85.5,10.075,1,0
1551,22.0,4.0,1028.1999999999998,78.5,12.575,0,0
1552,26.0,8.0,1025.75,94.5,12.149999999999999,0,1
1553,30.0,7.5,1024.45,91.0,14.924999999999999,1,1
1554,35.0,8.0,1013.7,98.5,13.9,1,1
1560,39.0,8.0,1020.8,79.5,13.125,1,0
1565,28.0,8.0,1009.9,100.0,9.55,1,1
1567,11.0,8.0,1009.2,95.0,8.925,1,0
1570,11.0,7.5,1013.0,91.5,6.35,0,0
1571,15.0,5.5,1016.25,81.5,10.025,0,0
1577,26.0,8.0,1025.0500000000002,84.5,8.375,0,0
1584,20.0,7.5,1025.8,91.0,8.7,0,0
1586,15.0,6.5,1023.95,84.5,9.175,0,0
1587,48.0,8.0,1013.95,71.0,10.075,0,0
1588,72.0,4.5,1012.85,64.5,10.274999999999999,0,1
1589,35.0,8.0,1020.7,71.5,9.65,1,1
1590,39.0,7.0,1027.75,82.5,9.7,1,1
1591,26.0,3.5,1032.95,80.5,9.825,1,0
1595,19.0,5.5,1030.15,82.0,9.2,0,0
1596,17.0,5.5,1027.75,87.0,10.45,0,1
1597,33.0,7.5,1023.95,95.0,11.525,1,1
1598,37.0,8.0,1021.5,87.5,13.35,1,1
1599,20.0,7.0,1023.4499999999999,92.5,12.825,1,1
1600,24.0,8.0,1020.45,89.0,14.825000000000001,1,0
1602,52.0,8.0,1009.5,76.0,15.425,1,1
1603,52.0,8.0,1005.85,83.5,9.675,1,1
1604,35.0,7.0,1015.75,78.5,7.3999999999999995,1,0
1605,31.0,7.0,1018.05,74.5,8.474999999999998,0,0
1606,30.0,4.5,1023.75,86.5,8.649999999999999,0,0
1609,17.0,7.5,1028.3000000000002,80.5,8.475000000000001,0,0
1612,52.0,7.5,1020.05,78.5,13.05,1,0
1613,24.0,8.0,1021.4,95.0,9.924999999999999,0,0
1614,17.0,5.0,1024.6,86.0,9.75,0,0
1615,13.0,4.0,1022.3,82.5,9.475000000000001,0,0
1616,52.0,8.0,1014.2,71.0,11.799999999999999,0,1
1617,43.0,4.5,1016.55,85.0,7.675000000000001,1,0
1618,48.0,5.5,1015.45,75.5,9.95,0,1
1619,26.0,8.0,1016.05,90.5,10.125,1,1
1620,37.0,8.0,1009.6,71.0,11.8,1,0
1621,28.0,8.0,1012.55,91.5,8.174999999999999,0,1
1623,20.0,8.0,1018.2,90.0,7.8500000000000005,0,1
1625,20.0,8.0,1017.05,79.0,9.799999999999999,0,1
1627,41.0,8.0,1015.3499999999999,68.0,10.2,1,0
1631,44.0,8.0,1011.2,68.0,11.299999999999999,1,0
1635,28.0,8.0,1016.95,80.5,7.5,0,1
1636,44.0,8.0,1011.6,87.0,9.424999999999999,1,1
1637,44.0,8.0,1011.75,94.0,10.600000000000001,1,1
1638,22.0,8.0,1023.55,87.5,10.9,1,0
1639,24.0,8.0,1025.5,75.5,12.8,0,0
1640,28.0,8.0,1024.65,68.5,13.775,0,0
1643,57.0,3.0,1015.0999999999999,67.5,16.05,1,1
1651,22.0,8.0,1025.0,71.5,18.0,0,0
1656,35.0,7.0,1012.85,71.5,11.625,0,0
1661,30.0,7.0,1009.75,96.0,11.075,1,1
1662,35.0,8.0,1000.9000000000001,91.0,14.775,1,0
1663,70.0,8.0,1001.3,84.0,14.8,0,1
1664,39.0,6.5,1008.1500000000001,73.0,11.05,1,1
1665,43.0,7.0,1009.9000000000001,79.5,11.3,1,0
1671,70.0,7.0,1008.95,67.0,13.075,0,1
1676,72.0,8.0,1005.45,71.5,16.25,1,1
1689,44.0,4.0,1018.45,63.0,10.475,1,0
1692,69.0,4.5,1009.15,52.5,14.400000000000002,0,0
1698,46.0,8.0,1009.45,88.5,14.975000000000001,1,0
1699,56.0,7.0,1018.4000000000001,49.5,12.174999999999999,0,0
1716,43.0,4.5,1016.9,51.0,16.3,0,1
